True values,Predicted values,Sampling values,Estimated values
0.065,0.0,0.043478260869565216,0.043478260869565216
0.08,0.065,0.09523809523809523,0.0871402131152941
0.095,0.09499982867091925,0.09523809523809523,0.09510684072608502
0.11,0.10999998095390585,0.09523809523809523,0.10374786455594037
0.125,0.12499994683843439,0.11904761904761904,0.12325528177043288
0.14,0.13999997674607623,0.19047619047619047,0.15993728049593414
0.155,0.1549999788535211,0.14285714285714285,0.15200777001990656
0.17,0.16998399510096512,0.23809523809523808,0.19491288879148969
0.185,0.18482221608331348,0.23809523809523808,0.20137846252611397
0.2,0.20000155125522306,0.11904761904761904,0.15498597878417814
0.215,0.2150040733127337,0.23809523809523808,0.21948688417845955
0.23,0.23000781690652597,0.2857142857142857,0.2445705989488568
0.245,0.24501265716110449,0.21428571428571427,0.23839738398671187
0.26,0.2600184489109372,0.2619047619047619,0.260195629848845
0.275,0.2750250553214273,0.2619047619047619,0.27336810513615695
0.29,0.289999995058523,0.2619047619047619,0.2852191743841382
0.305,0.3049999943796159,0.30952380952380953,0.30538487548555626
0.32,0.3199999938122803,0.30952380952380953,0.31896731328515165
0.335,0.3349999933527974,0.4523809523809524,0.36761408372860227
0.35,0.3499999929752339,0.40476190476190477,0.35983078460737483
0.19,0.3649999926705115,0.18478260869565216,0.24881750023483473
0.135,0.34666633141124337,0.14130434782608695,0.18472662128878772
0.225,0.07951291582231895,0.22826086956521738,0.1626708463389488
0.05,0.23230330335300078,0.06521739130434782,0.07589882486835409
0.04,0.03561295039109926,0.07142857142857142,0.05586608992224937
0.015,-0.020011576038588268,0.021739130434782608,0.01731099560384131
0.2,-0.05095920140316691,0.1956521739130435,0.14880887937110437
0.275,0.17161812549176148,0.3333333333333333,0.2687145807104593
0.25,0.2826930604142218,0.21428571428571427,0.2466180689363512
0.365,0.25729320406557576,0.40476190476190477,0.3374438602165445
0.19,0.36990252141376856,0.13043478260869565,0.15563380118272624
0.135,0.22543083796015112,0.14285714285714285,0.17290666470835692
0.075,0.1448551910341382,0.08695652173913043,0.10611267491701129
0.15,0.07954281845173423,0.11904761904761904,0.10106398176344189
0.04,0.14617257042030812,0.09523809523809523,0.11415733127190937
0.005,0.052434864855608374,0.0,0.0
0.28,0.007857571223208697,0.32608695652173914,0.27042090523868756
0.19,0.23239224904977293,0.14130434782608695,0.16337346027631894
0.06,0.20092245938350478,0.07608695652173914,0.08742029887285713
0.18,0.09749457373768274,0.11904761904761904,0.1109615261995155
